ClienteId,Nombre,Telefono,Correo,Edad,MontoSolicitud,Estatus,Aprobación,FechaAlta
1,Alyssa   Macdonald  King,477-1943,magnis.dis@yahoo.couk,24,"$74,300.04",?,?,"Dec 4, 2021"
2,Irene   Carey    Spears,1-153-173-1315,donec.feugiat@protonmail.com,18,"$1,213,748.20",?,?,"Sep 16, 2022"
3,Hope          Best Charity,1-810-927-0758,sed.neque@yahoo.edu,45,"$378,121.58",?,?,"Sep 18, 2021"
4,  Kirsten   Glover   Carrison,488-7837,ipsum.ac.mi@google.edu,39,"$22,430.14",?,?,"Feb 6, 2022"
5,Cheyenne Norton       Mcdonald,1-638-481-3863,nulla.eu@yahoo.ca,28,"$664,419.39",?,?,"Apr 1, 2022"
6, Kirk Nichols Douglas,348-0176,donec@yahoo.edu,25,"$980,000.50",?,?,"Sep 24, 2022"
7,Blaze  Massey    Adams  ,1-483-678-4909,sed@aol.edu,56,"$276,899.83",?,?,"Jul 9, 2022"
8,Raphael    Wright Allen,942-4114,dolor.donec.fringilla@aol.couk,83,"$778,564.00",Adeudo,1,"Jul 28, 2022"
9,   Pamela   Hanson  Love,1-760-505-0882,sed@yahoo.org,60,"$331,876.00",?,?,"Jan 13, 2022"
10,Lois  Byers                Parson,1-773-637-7287,eu.eleifend.nec@yahoo.com,37,"$634,567.20",?,?,"Sep 10, 2022"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
